sequence;date;expirationDate;supplier;documentNumber;netAmount;vatAmount;totalAmount;outstandingAmount
20140109;16/04/2014;30/04/2014;car en construct Blomme;140;33;6,93;39,93;0
20140108;14/04/2014;28/04/2014;car en construct Blomme;138;250,94;52,7;303,64;0
20140104;5/04/2014;5/04/2014;base company nv;;121,9;25,6;147,5;0
20140103;31/03/2014;15/04/2014;sita waste services nv;1584265704;54,7;11,49;66,19;0
20140100;1/04/2014;19/04/2014;eni gas & power nv;141.200.220.080;29,77;0;29,77;29,77
20140099;1/04/2014;1/04/2014;grenke sprl;0000016616/2014;507;106,47;613,47;0
20140095;3/04/2014;21/04/2014;lampiris;;127,29;26,36;153,65;0
20140087;8/01/2014;8/01/2014;eni gas & power nv;1,82082E+11;117,43;24,66;142,09;0
20140086;5/02/2014;5/02/2014;eni gas & power nv;1,82053E+11;161,43;24,66;186,09;0
20140085;5/03/2014;23/03/2014;eni gas & power nv;1,82043E+11;181,43;24,66;206,09;0
20140084;5/03/2014;4/04/2014;base company nv;;74,61;15,67;90,28;0
20140083;28/02/2014;15/03/2014;sita waste services nv;;107,5;22,58;130,08;0
20140082;7/03/2014;5/04/2014;kbc verzekeringen;;166,94;0;166,94;0
20140081;7/03/2014;17/04/2014;kbc verzekeringen;;172,54;0;172,54;0
20140078;1/03/2014;27/04/2014;kbc verzekeringen;;97,43;0;97,43;0
20140077;1/03/2014;1/04/2014;De Rudder Franky;;1065,95;0;1065,95;0
20140074;18/03/2014;18/03/2014;use it group nv;;500;105;605;0
20140071;18/03/2014;18/03/2014;C&J Credit Services bvba;;143,24;30,08;173,32;0
20140069;26/03/2014;13/04/2014;lampiris;;75,34;15,82;91,16;0
20140065;24/03/2014;8/04/2014;lashing t.g.v. bvba;;642,06;134,83;776,89;776,89
20140064;26/03/2014;25/04/2014;euphony;;29,42;6,18;35,6;0
20140061;26/03/2014;11/04/2014;sip-well nv;;74,92;7,35;82,27;0
20140058;31/01/2014;15/02/2014;sita waste services nv;;72,54;15,23;87,77;0
20140056;12/02/2014;14/03/2014;C&J Credit Services bvba;;179,05;37,6;216,65;0
20140055;14/02/2014;16/03/2014;adrem intermediagroup;;150;31,5;181,5;0
20140048;19/02/2014;21/03/2014;A.A.D.B.;;582,64;122,35;704,99;0
20140045;26/02/2014;26/02/2014;martin linssen & co;;96;20,16;116,16;0
20140043;27/02/2014;27/02/2014;euphony;;28,92;6,08;35;0
20140039;25/02/2014;13/03/2014;sip-well nv;;75,46;7,38;82,84;0
20140036;21/02/2014;8/03/2014;kbc verzekeringen;;455,59;0;455,59;0
20140035;31/01/2014;27/02/2014;kbc verzekeringen;;97,43;0;97,43;0
20140034;13/02/2014;15/03/2014;kbc verzekeringen;;340,43;0;340,43;0
20140030;21/01/2014;20/01/2014;de meester consultants;FACT5932;846;177,66;1023,66;0
20140029;17/01/2014;31/01/2014;C&J Credit Services bvba;29;179,05;37,6;216,65;0
20140019;5/02/2014;7/03/2014;base company nv;3830011414;72,67;15,26;87,93;0
20140018;28/01/2014;13/02/2014;sip-well nv;F14009938;75,46;7,38;82,84;0
